favorites,retweets,tweet_id
22237,4899,843856843873095681
17535,2916,843604394117681152
22331,6400,843235543001513987
15800,3813,842846295480000512
6999,1352,842765311967449089
18791,3713,842535590457499648
25436,6147,842163532590374912
14567,3213,842115215311396866
0,16249,841833993020538882
26663,8222,841680585030541313
13130,3902,841439858740625411
20568,5776,841320156043304961
16470,4987,841314665196081154
23806,5631,841077006473256960
0,1861,840761248237133825
0,17167,840728873075638272
185,2,840698636975636481
12798,1041,840696689258311684
9345,1861,840632337062862849
17140,4827,840370681858686976
20089,6096,840268004936019968
13978,2438,839990271299457024
28693,8276,839549326359670784
0,151,839290600511926273
28371,6958,839239871831150596
20452,4230,838952994649550848
11650,2211,838921590096166913
0,36,838916489579200512
0,11771,838831947270979586
11390,1410,838561493054533637
23568,5122,838476387338051585
0,10746,838201503651401729
1751,353,838150277551247360
147,0,838085839343206401
18394,3364,838083903487373313
35707,8374,837820167694528512
4003,469,837482249356513284
13346,2444,837471256429613056
22092,5648,837366284874571778
16741,2550,837110210464448512
13292,2455,836989968035819520
20097,4924,836753516572119041
13188,2370,836677758902222849
0,582,836648853927522308
0,29526,836397794269200385
15402,3163,836380477523124226
22224,4582,836260088725786625
19979,4583,836001077879255040
0,8705,835685285446955009
18633,3870,835574547218894849
0,1820,835536468978302976
0,22474,835309094223372289
17186,3206,835297930240217089
8094,1820,835264098648616962
2189,77,835246439529840640
27340,6134,835172783151792128
23507,3230,835152434251116546
11325,1764,834931633769889797
22188,5878,834786237630337024
14320,2709,834574053763584002
0,11426,834477809192075265
10057,1794,834458053273591808
21575,5121,834209720923721728
16511,3892,834167344700198914
10522,2275,834089966724603904
13687,2374,834086379323871233
14042,2574,833863086058651648
18843,3994,833826103416520705
0,230,833732339549220864
21707,3437,833722901757046785
15574,2215,833479644947025920
21157,5179,833124694597443584
13927,2372,832998151111966721
0,40,832769181346996225
17639,3880,832757312314028032
12440,3143,832682457690300417
3058,555,832645525019123713
16607,2990,832636094638288896
12518,2386,832397543355072512
18008,3421,832369877331693569
11856,2502,832273440279240704
0,6648,832215909146226688
0,10068,832215726631055365
69,2,832088576586297345
0,10416,832040443403784192
18699,4976,832032802820481025
25164,6575,831939777352105988
359,35,831926988323639298
29025,7002,831911600680497154
10972,1945,831670449226514432
7540,2080,831650051525054464
9441,2462,831552930092285952
9676,1642,831322785565769729
6860,1197,831315979191906304
12319,2623,831309418084069378
12512,2201,831262627380748289
8360,1606,830956169170665475
70258,18076,830583320585068544
0,6132,830173239259324417
10329,3219,830097400375152640
0,5398,829878982036299777
12851,2103,829861396166877184
33382,11426,829501995190984704
10997,2183,829449946868879360
36386,10015,829374341691346946
25745,7977,829141528400556032
55724,17473,829011960981237760
0,3660,828801551087042563
26893,6316,828770345708580865
38487,12095,828708714936930305
9991,1450,828650029636317184
6621,1240,828409743546925057
8057,1384,828408677031882754
13281,2399,828381636999917570
7762,1146,828376505180889089
13201,3178,828372645993398273
